####### 2022/06/22 ~ 2025/05/30 #######
# 僅移除重複字串
# https://www.facebook.com/groups/1141798046611751/user/100001471821039/
香港Web3.0 m.qgqhbv.cc
中洋投資 app.rzryok.top/rzryok
元大金控 ex.yd887.top
日銓 www.nfalfj.com
全啟投資 app.tiosz.com
百雀城 gengar.bqcity889.com
自在接案 utc.ezsoholl.online
周大福 zdfw0225.z23.web.core.windows.net
泰盛國際 www.cmklt.com
勝凱國際 www.kljhkl.com
朝隆投資 app.tuosid.com
絡萊證券 zchtrade.com
圓方投資 www.yjsues.com
豪成 www.wioowjfjh.xyz
遠宏 www.wteyri.com
樂淘 ledowsap.com
璋霖 m.wiqic.top/h509
Bitunix www.bitunix-c.com
Bitunix www.bitunix-b.com
三井3C www.sannjing3c.com
defi liquidity v8.aicontract.info
BITMHF www.bitmhf8e.com
Medier & Co growyourapp.cc
OURBIT TRADING m.ourbit.vip
E-World www.e-world.life
Mzbit tss.ex-nft.com
jobglobal jobglobal1101.com
magnum magnum58.cc
Yixbit yixbit.com
Dex jex.dex-otc.com
BGYCK www.bgyck.space
Bitget www.bitgetakd.com
AliExpress az.aliexpsshoo.vip
ETH Pledge ethcnc.com
GS SHOP gsshop-tw.com
mshoping mshoping.xyz
Shopping | Central shopingcentrale.xyz
1688优惠商城 m.youhui1688kkhk.top
Alibaba www.tmao9847.xyz
Wisecoin aiwisecoin.com
ACENT acentt.cc
Astar Network astarn.cc
CREDIT SUISSE TRUST www.creditdikd.com
TMYDF www.tnydf.life
Jison win.jisklsfab.com
YIELDSAI www.yields-ai.com
國際反詐騙聯盟中心ADCC 反詐騙協調中心 pznee.xyz
全球律師反詐騙聯盟Anti Fraud Legal Expert helpply.rf.gd
國際反詐騙聯盟ADCC 8vdz6.com
Bitercoin Token web.bitermarket.shop
Shop - I'm Torn imtorn.com
CoinFLEX flexjif.com
Haorui Transacti www.haoruiuvd.com
Mexc Global www.vipmexc001.com
TMYDF www.tmydf.live
千興 www.flosicv.com
BN wreus www.bnwreusrbr.com
DoSobEX usdc.dosobex.top
OKB www.okbijs.com
SPX www.spxudn.com
Wealthfront www.ckoilo.com
新社投顧 www.ylsooe.com
Eosio API www.eosioapirce.com
永鑫投資 www.woaisayu.xyz
Access www.accessivw.com
Cryptodfmeta www.kyazgh.top
Hantec Financial hantecmrv.com
Opensea opensudv.com
Squared Financial squaredkbd.com
BitoPro www.bitopropro.com
Costco www.toiucostco.com
MetaMask www.metopmaskex.com
Starbucks www.starbucksvipspreadbonusmoney.com
TikTok Shop www.fgsarnsh.shop
VIAGOGO www.viagogohud.com
Yahoo購物 yahvnjf.com
上海期貨交易所 www.shjs037.com
太子國際接案 www.taizicaseex.com
永利娛樂城 yonglipt.com
海能國際 app.nkksius.com
CryptoTops bsttcsmart.com
FSX www.fsx-ex.com
ICRYPEX indoire.com
Imtron xrp.imtronbit.top
RPVOK www.rpvok.live
TGR寰球 www.tgr26397.com
UBP TWN 6h8cq.com/AL8l
虹裕 www.xnzjkigo.com
ATFX www.atfxag.com
Capital h5.capitalproxp.com
CoinBase www.coinbasebat.com
GMI gmivsp.xyz
Huigu limited huigumaketusd.com
JPACOIN www.jpacoin.live
KVHR www.kvhr.xyz
Lirunex PRO wwwi.lirungsase.com
MSE www.msejif.com
Open Exchange opnxdex.finance
PCF www.crypacific.com
Persontrad5 www.persontrad5.site
PGUIE www.pgule.life
RLXCN www.rlxcn.website
Sei www.seiprw.com
SXKFJ xyijun.com
VHPMI www.vhpmi.store
Zalando www.zalando-buyshop.com
沐笙 www.cjiisss.com
定勝資本 www.kilowl.com
崇仁交易精靈 www.wruyudh.com
瑞捷優選 spalegeyser.com
AISMEX aismexmts.com
Aiyfpro www.aiyfproi.com
AOEX www.aoexpzw.vip
AvaTrade avaetfbobtc.com
BitFinex bitfinex-web.com
Bitget www.bitgetyci.com
BitMex www.biestkoj.com
DART www.daptabc.com
Deutsche Börse Group（Deutsche Borse AG） h5.deutschetdw.com
DFJ Bitcoin cryptobch.xyz
Dforce www.dforeceprw.com
DMM dmm.4ug3.top
eBay www.e-bayoffi-cial.com
ENC www.encrvt.com
ET hrtexi.com
EXAA sdj3ksdh.com/kd1pia9v
Fantom fantomfvw.com
GEMSTONE www.buyeehk.shop
GMALL內部營銷平台 www.zldshop.online
GNT國際外幣交易平台 hognt.com
High-tech chip conductor technology crystalchipstsi.com
HKSCC www.hksccdvi.com
Instabank instabankwbc.com
Intercontinental Exchange, Inc morgan-stanleyclub.com
JASDEC www.jasdecudv.com
Kraken www.kakrenakl.com
Matic www.maticaxk.com
MAX娛樂城 max1717.com
MTOOEX app.qianff136.xyz
MultiBank www.multi-bankpro.com
OANDA twd-forex.com
Ordercast www.ordercast.xyz
OTG OnTheGo Limited s15.kkkuav.com
PGULE www.pgule.site
Pretty購物 www.ptylzhy-my.com
SoFi TW www.sofiufc.com
Speed speedquline.com
STI www.sti232.com
TIDES tndgdemo.com
TRCOEX www.trcoex.org
TSX torontoexchange-7.top
Vati Capital www.vaticapitsah.com
VIAHTGOGO www.viahtgogodov.com
Wallet www.walletaaa.com
Web Trader wt.forlabo.com
Woodmart www.teacupsbuy.com
XMDEFI xmdefi.top
ZENEX www.zenexcq.com
三井3C www.sammng3c.com
三菱商事 www.mitsubishicorphk1.xyz
大數據彩票單挑模式 crown.bitben.cc
中信證券 cn.badwebvip.com
心達國際投資 www.sgjsuo.top/kjhek
世貿 app.gposil.com
永利娛樂城 m.wyney88.vip
永康醫材科技股份有限公司 eve.zhenxincjb.com
申通易購 www.twmallsto.com
回流-珠寶玉翠競價回收平台 wvw.jewelrydsx.com
沐笙 www.tsloirt.com
定勝資本 app.xioiwe.com
松誠 www.isksksjfn.com
物美 wu-mart-tw.com
花環E指通 www.erytugo.xyz
金鑫 www.sopwoa.com
紅福 www.ripks.com
海能國際 www.yxslx.com
博亞國際 www.boyagk.com
博客來 www.books-ltd.com
新展e點通 www.tijajz.com
嘉盛外匯（Global PayMents） www.js0998.com
樂享購物 wshoptw.com
輝利 trade.bigcoinpool.com
澳門銀河 wpp9889.cc
賴利維爾資本 www.rallyville-chtw.com
優選賣場 ihearttype.com
寶管家 www.bkoilx.xyz
黌達 www.hcdtwu.top
BHGbase bhg.xyz
BHGbase bhgdw.com
BHGbase www.bhgbaseex.com
BHGbase bhgbaseit.com
BHGbase bhgbasein.com
BHGbase bhgji.com
BHGbase bhg.world
BHGbase bhgbasepro.com
CryptoTrace www.cryptotrace.info
Secufex app.secufexu.com
Secufex lvdudo.com/th37
lazada la-zadasg.xyz
DecXauAi decxauait.com
LMAX www.regtrge.cn
cgroup cgroup.icu
ZTN www.ztntuvo.vip
EMEX emexspro.com
BUX Markets www.buxmapps.com
PoisyBit poisybit.com
Exquisite Estate exquisitees.shop
IMAGEPLUS imageplus-work.com
Bizedges bizedges.com
Binam2link binam2link.top
Game Group遊戲中心 333gamebox.net
成德投資 cdtz.tw
IMC-MAX www.imcmax-ex.net
DYADIC www.dyadxzijns.com
裕杰投資 www.oiweyrub.xyz
裕杰投資 www.ytishl.com
Fantom aknatou.click
Tether cs.dkehar.com
A.R.I www.arifashionclothing.com
CME coinme488.cc
BitMEX bitmexchain.net
Kraken www.kakenpqe.com
Oceanex oceanexw.com
Oceanex oceanexproe.com
Oceanex oceanexq.com
BN wreus www.bnwreusijf.com
DYADIC www.dyadijns.com
TMFDF www.tmfdf.live
Haorui Transacti www.haoruiruc.com
KNHJ www.knhj.store
SPX www.spxuvd.com
SOLAR pun.caigelo.buzz
CoinFLEX flexnym.com
Opensea www.openstbo.com
誠實 www.flpokol.com
Blofindex blofindex.pro
BMD www.bmdudc.com
Alvexo alvexoufv.com
Gate.io cdtkvzwh.buzz
Hashflow www.hashsni.com
MFP www.mfpidn.com
OKX www.okbemu.com
UBP TWN kms3y.com/AL8l
VIAGOGO www.viagogoivc.com
Zalando www.zalando-net.top
裕杰投資 app.dxxssa.com
BCKHI www.bckhi.fun
BitMEX www.biestdxq.top
Camel www.camelyst.com
CoinDCX coindcxbucm.com
Costco www.lanacostco.com
DDEx ddexaps.com
eBay www.ssseeebays.com
HKSCC hksccgy.com
Mina www.minacrr.com
Moscow Exchange www.moscownrx.com
QCM www.q-mechanicg.com
ROYALDATIN www.royaldatinibr.com
RZXCN www.rzxcn.website
Starbucks www.starbucksvvippmoneyawardmoney.com
SuperStar superfinancd.com
TEZOS www.tezosysf.com
TIFFIN zhong.tiffijnssa.com
TikTok Mall（TikTok購物商城） www.sgkahvw.vip
Tko Cryptocurrency tkocryptocurrency.pro
VHPMI www.vhpmi.shop
Yahoo購物 ios.yahviy.com
知微 www.yuosjk.com
惠百優選 yf.ligyj56.cn
嘉信投信 www.bqdco.top/kjhek
億昇 www.zxcbnfh.com
ABCC www.abccen.cc
ARBUTUS trade8.arbutuse.com
ATFX www.atfkmfn.com
Ava Stone www.avastonejud.com
BCR娛樂城 www.bcr1688.com
BitFinex bitfnexxa.vip
BITSO a96e.site
BitTrade www.bitbjif.com
Bitvenus bitvensudt.com
Brasken www.brasuyts.com
BTSE btsemarket.net
BTSEX btsex.asia
CBOE cboe.skca.live
CBX www.cbx30.site
CoinTA PRO cointa.hhunwux.cn
Cointaste h5.cointaste.net
ComethSwap www.comethubv.com
DEX dex-qs.net
Dforce www.dforeceprq.com
EGcoin a.egcoinkj.com
Energia www.energia-ltd.com
Exchange www.adgb4.com
FxPro（FxtroTrade） www.crvtt.com
Global Market Index Limited amtopfxs.com
Grayscale tokpieus.com
Helioj EXchange www.heliojus.com
HEMKF www.hemkf.space
High-tech chip conductor technology precisionicv.com
HKEX aa2a.cmhkex.top
Jison www0.jisklsf.com
Jubi www.jubiweb.com
Kraken www.kakennet.com
Lucky Chainlotto luckychainlotto.com
MetaMask www.metopmask.com
Moontrader moontrader.q58ph5.icu
OANDA oandeexpro.com
Onetenthousandth onetenthousandth.com
Ordercast ordercast.cc
PICO breakogfutoa.com
Pionex www.pionexbtn.com
PIZON pizon1.com
Poloniex www.pololiexrfb.com
PUNDI punditnv.com
RED APPLE www.redlerrw.vip
Revolut r022tw.ww888012.online
Robinhood www.qhuif.com
RPJOK www.rpjok.live
RVJOK www.rvjok.online
Shopee蝦皮購物 app.ats4shop.live
SNAG swagenbs.com
DYADIC www.dyadigus.com
BitoPro bitoprocrypt.com
千興 www.zmkau.com
Shopee蝦皮購物 app.6su7n5ofvfkgx896vni.xyz
IEX國際企業電商 howgerisiex.com
SPX www.spxike.com
Pionex www.piexglobal.com
Animoca www.animocanrv.com
Haorui Transacti www.haoruiuvo.com
iNDOEX indoovm.com
TRCOEX www.trcoexb.com
Zalando www.zalando-vip.top
華碩 www.yslosz.com
BMD www.bmdbiv.com
Fastex fastexjmif.com
HNMKF www.hnmkf.live
Jison win.jisondf.com
OKB www.okbndu.com
Opensea opensifv.com
上海期貨交易所 www.shjs036.com
永利娛樂城 m.wyney88.cc
億昇 app.folois.com
德勤-Por app.dvqetd.top/dvqetd
轉福商城 88800.wishluck.sale
Aiyfpro www.aiyfproe.com
Bitstamp www.bixamgrqd.top
BitTrade bittcdv.com
CoinDCX coindcxibjd.com
CoinFLEX flexdvyj.com
D.H dhdarkrfd.com
FXCM tingbv.xyz
GNT國際外幣交易平台 www.gntnhing.com
Hashflow www.hashsnu.com
HTFX m.htfxstopsfx.com
Kraken www.krakeyzw.com
Lirunex PRO wwwi.lirunpsjs.com
Money Partners www.moneyptoie.com
PAXOS paxosojd.com
RVJOK www.rvjok.xyz
Woodmart www.justcupss.com
上傑投資股份有限公司 momo.desi
日暉 www.wiyugh.com
世紀佳緣 pee0pp6pp.xyz
安智金融 www.ksdjih.com
知微 app.tiodlo.com
誠實 www.lofdis.xyz
優選賣場 salondevita.com
11st asia.11stk.shop
3A娛樂城 www.3a88.net
AE Global members.aegloballink.com
Ai Network cng.ainesenbs.com
Amana www.amanayvd.com
AMM trust-amm.vip
ARES www.arestnes.com
ATGMY tsgtw.atgmyyy.me
BainPro bianpro.app
BCH bchcoinexc.com
Binance www.binaceysy.com
Binance Trading bitcoinanyone.com
BitMart www.bitmatmww.com
Bitrue bitruegs.com
Bitvenus bitvenussant.com
CAMEL cameliureww.com
Careebuilder hot.futu518.com
Cdiscount cadinbc.com
CoinBase www.coinbasekeys.com
Coinsbit www.coinsitcre.com
Cointaste h5.cointaste.vip
CoinW www.coinwice.top
Costco www.costcousbj.com
CryptoTops bstucrrbte.com
CVC ytrwvw.live
Dforce www.dforecepre.com
DGBY www.dgby.online
Dodekatheon ncct.basakar.online
EDGEVANA edgevanae.com
Eecoins www.eecoins.vip
Enhance Pro enhancenmu.com
EXAA qmdyq.7p904t3.com/kd1pia9v
EXmart www.exmartrealtime.com
FinanceGO index.ifinancego.store
Gate.io www.gatee77555.com
GDS www.osigitlkfds.com
GHOSXB sxguangyu.com
Global Shopping globalshopmxt.com
Globalfinery www.globalfinery.com
GPT gptra.org
Hantec Financial hantecbuf.com
Hive www.hivemallr.com
Instabank instabankbgk.com
Kingtrade www.wiuehfjjc.xyz
KuCoin kuc-topoin.com
Latoken lastore.vip
Matic www.maticaxn.com
Moderna www.vnsr1220.top
Msbpit msbpit.bitrichtg.top
Myprivatelovespace www.myprivatelovespace.com
Nartata www.nartata.com
Newgeneration4now newgeneration4now.com
NewloveTW newlovetw.net
OANDA options-usd.com
OKX okokmax.com
Orsted www.orsted-ion.com
OTTO mall ottoshopsx.com
Pacific pacificex.cc
REXCN www.rexcn.live
ROX roxexsbs.com
Sheeld Market h5.sheeld-8.com
SunMall app.sun-mall.site
SXKFJ dynamicshoppers.com
TikTok Mall（TikTok購物商城） tiktokwsin.com
TikTok Shop tk-shop.homes
Uphold upholdvkoi.com
VIAGOGO www.viahtgogobpod.com
Walmart wlmpro.com
Walmart Global woermashopxs.com
Wealthfront www.liosxs.com
WM Casino 588win.net
Yahoo購物 www.yahbic.com
中信集團 citim.top
天貓（阿里巴巴、Tmall、Time Square、Ttmall、Meta Universe） tmalldlapp.com
永豐銀行 graemeforrest.com
考拉購 shop.st-stocks.com
沐笙 www.yiofg.com
京東金融 jdjr1688.com
京城 www.wotsxv.top
股達寶 app.huppsl.com
泰盛國際 www.cloiisl.com
理財E時代 app.pdaneb.top/pdaneb
勝海國際 www.shssha.com
博客來 www.books-shopcenter.com
集富 wap.jifu688.com
新葡京娛樂城 xpj12286.com
瑞泰 www.ncxvmh.com
億展 www.hlojus.com
官信國際律師事務所 guanxin-law.com
星源 dq7xcl1h00dst.cloudfront.net/A星源gulu1
Expert Tradings experttradings.com
Anti-Scam Worldwide antiscamworldwide.org
ROITRONIX www.roitronix.com
ETF NFT starlinktw.com
ETF NFT hasomi.net
阳光国际 yangohk.com
CoinRisen coinrisen.net
CoinRisen coinrisen.com
DobeMall www.dobealla.com
收益藍圖實驗室Revenue Blueprint Laboratory rbl3163.xyz
USS uss777.ussipajis.com
JARVIS www.jarvisbue.com
SJM www.sjmhtmls.com
BainPro bianpro.top
Order Trade線上批發系統 www.o-game.com.tw
CKRNLN ckrnln.com
YIELDSAI Options www.yield-ai.com
Mucoin mumu-coin.com
YBG ybg.ink
HKEX香港交易所 zghk7779ex.com
BITERCOIN b.bitercoin.online
金御會 wwww.www.k0vhp9.com
國際律師事務所 www.just-sd.com
時和傳媒 h5.hkuspic.com
BIT down.bitss.website
akakce akseacec.com
國際反詐騙聯盟 huaa.mystrikingly.com
英皇傳媒 emperor-medie.life
家樂福（Carrefour） www.carrfnoorii.com
海能國際 app.sfopgn.com
博客來 www.books-shoping.com
富連金控 app.flayce.top/flayce
群益外匯（Global PayMents） order.amazonfire3.com/gicgold
義安城購物 www.ngeeanncitysp.com
葡京娛樂城 pjeroetky.com
裕陽投資 app.xyers.top/xyers
實踐計畫 dgone.realizeideal.fun
福冠 app.hhdfyk.top/hhdfyk/
潤盈 app.posyts.com
澤晟資產 app.xieosr.com
寶管家 www.liuopj.xyz
Sheeld Market h5.sheeld1.com
SJM www.sjmdownloads.com
SuperStar www.superfinancs.com
Taxbit app.taxbitb.com
TDSR www.tdsrexchangeit.com
Teastore www.shisui.net.cn
Telfor Mall telfor.top
Temaket Information Limited m.tg-maketss.cc
Tko Cryptocurrency tkocryptocurrency.plus
Toobit vip.toobits.me
Toronto Exchange torontoexchange-16.top
TRUST www.ratyso.com
USS uss77.ussieureos.com
Vm Markets Ltd www.bymstores.com
Wanlshop www.lifeshopfcht.com
Wealthfront www.nbjhjn.com
Web Trader wt.thickguibao.com
Wshop w-shop-tw.com
YouCoin www.youcoedx.cc
三井3C www.samling3c.com
上傑投資股份有限公司 firstsjtz.tw
大寶國際娛樂 dbyl1878.com
不詳 www.vkisid.com
元大金控 hepsibu.cc
元世紀智能數據 mc-globaltechleaders.finance
天貓國際 http://xn--vcs73cyy6b985a.cc/
永利娛樂城 aomenyognli.vip
全球娛樂 worldwiderre.com
定勝資本 app.hpooes.com
股海航線直播室 vip.ce993.com
金榮中國 jrs1088.com
阿里巴巴優惠站 www.youhui1688hxak.top
俊貿國際 app.zaoiesf.com
昶盈電商電子商務 www.changying.pw
紅榮 www.nbjxzhjyu.com
美林證券 www.jywgzg.top/kjhek
飛書逸途 sinoclick.pro
海洋能源 energyeao.com
國際福彩 addm698.com
勝海國際 shsshi.com
智富通 www.mkhkn.com
無人機UAV tw54.kkkuav.com
發發奇 www.puoncj.com
華瑋投資 app.ojvmy.top/ojvmy/
華碩股市 trsioiv.com
圓方投資 www.xnvjfhod.com
新葡京娛樂城 www.xinpuj.com
實踐計畫 dgone.realizeideal.online
福勝 www.fopose.xyz
摩根大通（摩根史坦利、JP Morgan、Morgan Stanley） morganaat.com
澳門銀河 web.nibfvc.com
Tu娛樂 www.gamemaster1668.com
Jumbo Market jumbo-market.blog
國際接案中心 www.intcenterbdv.com
AI交易 mainnetig.com
CS-Coin www.cscoinus.com
派託 | PAITUO paituobdv.com
pulsexe www.pulsexe.cyou
廣理投資 cs.gebasolo.buzz
致富娛樂城 zf188.net
OZON asiaozon.com
Pionex www.pitviponex.com
BIG TINY bigtiny.com.my
IG m.igglobalhq.cc
Preimer Way Bank norixcapital.com
bjfck www.bjfck.store
AF阿爾發娛樂城 afcasion.tw
AI-Robot airobots1.com
Bityard www.bityard-u.com
Wealthfront BRokerage wealthfrontbrokerageex.com
FxPro fx-pro.bond
superdelivery | STO superdelivery.com.co
MEXC www.mexczx.icu
CaliBet卡利系統 www.cali1356a.net
Trust www.trust-wallet.xyz
Bitmart m.bitmartuk.com
ZB www.zbzbuqx.vip
唯品會 vipstoretw.com
ShoppingGift線上購物 www.shoppinggiftcom.life
FUSION MARKETS www.fusionudv.com
kryptos-x erdenin.buzz
ClesShop clesshop.com
Ecological cooperation v9.smartblockai.com
UPeak xiafenfa.cn/shhz5b
CoinDCX www.coindcxydb.com
Brain-Boost brain-boost.academy
cxmdircet cxmdircet.com
DeFi Mining www.ethereumnodemining.site
Angel Wings hotweb.store
Quant Asian Fund liveforextrading.xyz
MEXC www.mexczx.cn
MTOOEX www.mtooexf.com
TRCOEX www.trcoexk.com
Fastex www.fastexfmnv.com
Gleneagle gleneaglevjy.com
MFP www.mfpbcbex.com
Yahoo購物 ios.yahvmd.com
日暉 app.koisep.com
BN wreus bnwreusjbf.com
TMX wmm.marketokv.com
D.H www.dhdarkibd.com
GDS www.osigshnbve.com
IEX國際企業電商 iexyuxiwangyuxiboy.com
Money Partners Moneyptvy.com
SOLAR pon.geosolah.buzz
UBP TWN 1zxp1.com/AL8l
Squared Financial financialkbv.com
加百列 www.srselo.com
誠實 www.mkiis.com
籌碼先鋒 www.dfregdf.xyz
CoinFLEX www.flexudc.com
FPS ho.robinsfp.top
HoBito neo.hobito.top
Shop購物網 tw1.joom.ooo
TIFFIN celufa.tiffijnsute.com
知微 app.niisud.com
贏勝通 app.mopsid.com
BitoPro www.bitoprocoin.com
BMD bmdje.com
FXCM tingnuv.xyz
High-tech chip conductor technology crystalchipstcc.com
Lirunex PRO apac.lirunpsiuvhyb.com
REE reetwapp.com
ROVCN www.rovcn.store
上傑投資 www.ysewfb.top/kjhek
心達國際投資 www.vcvfqf.top/kjhek
泰盛國際 www.fuosjl.com
裕陽投資 www.bgauk.top/kjhek
Aiyfpro aiyfpromg.com
Alvexo alvexoywk.com
Amundi www.aidhscwyh1.com
Axon Markets axondviv.com
BJVCK www.bjvck.live
eBay www.e-bayofficial.com
Gate.io www.gate777445.com
Hashflow www.hashmwp.com
Kraken www.kakenmzi.com
Omen4btc www.omen4btc.cyou
PAXOS paxosvbr.com
PICO breakoutoi.com
TikTok Shop tiktokbq.com
Woodmart jjjjnn.com
Zalando www.zalando-bigshop.top
千興 www.fokisl.com
中暘晟安 wap.zhongyangshengan5g.com
安智金融 www.bvchjxghui.com
嘉信投信 app.logfw.top/logfw/
AEGON paa.aegonxyssx.com
AISMEX aismexers.com
ATFX www.atfxad.com
AVABROKER download.ava-loading1.com
BFKHJ www.bfkhj.buzz
Bitget www.bitgetmfw.com
BitTrade bittivb.com
Bitvenus bivenrain.com
Coinjar coinjar6.com
Coinsbit www.coinsitmwz.com
CoinZoom coinzoomvh.com
Fusion Markets www.fusiondjid.com
HNYKF www.hnykf.shop
IMC-MAX www.imcmax-otc.com
MATIC www.maticaxl.com
OANDA tradeusd.net
PGULE www.pgule.xyz
PuJing www.pjeakutohts.com
QCM m.quadcodeexchange.com
RJVCN www.rjvcn.online
Service Center operationalb.energyvsv.com
Shopee蝦皮購物 www.cxvshopee.cn
SPO mhneome.pospto.top
Stellar www.stellarovm.com
ZENEX www.zenxig.com
上海期貨交易所 www.shqh096.com
台灣名品 shoptwx.com
永恆 www.yjemdz.top/kjhek
回流-珠寶玉翠競價回收平台 mmb.jewelryddv.com
金曜投資 www.visiud.xyz
派託（Paituo） www.paituodvio.com
紅福 www.tingvc.com
海能國際 www.wjiajkgfg.com
幣安（Binance、Bianxe） www.binaceysi.com
雙城 app.kuclvj.top/kuclvj/
寶管家 www.tsugd.xyz
Adking adking.club/?NeyMRN
Advanzia m.advanziaex.org
Agba www.agbarnse.vip
AI Network host.ainesenb.com
AI-Grid safepal.aigridtop.com
Akakce akkaceea.com
Alcoans elf.alcotjyst.com
Amazon hwswapp.com
Bitonic bitonicyh.com
Bitrue bitruekqcf.com
BJFCK www.bjfck.online
BMO www.lkfjig.com
BOSS彩票 bu-kkdog.ourmomo.com
BTSEX btsex.xyz
Buyee www.buyeehk.life
Central world www.centralworldlands.com
CoinBase www.coinbasedrop.com
Coinbase OTC www.dealotc.com
COINGREW h5.coingrew.vip
COINLEEK www.coinleek.com
Coinmama Pro coinmamashortpro.net
COINTASTE app.yyapp88.top/kqn7rm
CSD www.6985615.com
DYPLUS dyplussc.com
FameEX fameex.exchangecorp.net
Filpkart www.fillkart6.top
FineBox f1nebox.top
Forth ulza.metalustit.com
Gladbuy app.gladbuyshop.com
Global Shopping www.golbshop.com
GMALL內部營銷平台 www.kuailemao.live
GS trader.graysvfx.com
Haitao www.haitaosutw.com
Helioj Exchang www.heliojexchangget.com
Hengtuo Finance www.hengtuomax.cc
INL www.inlrexr.top
itBit www.itbit-pros.com
Lazada laza-dasg.com
Met Coin richcontracting12.buzz
MEWT earningsxc.com
MT8 mt8-vvmt8.com
Newgeneration4now www.newgeneration4now.live
NYSE nyse.taymde.top
OKB www.okbblfv.com
OKX www.okxmoney.com
Open Exchange openexchange.app
P2B aope.p2boo.online
PCF pacificex.co
PitEX www.pitevo.com
Recordhappiness www.recordhappiness.com
Remitano apk.remitano-tw.com
Revolut交易中心 wh.revolutrvi.vip
ROX roxacsx.com
Safety safheapvkuy.com
Sei www.seipry.com
LEO www.leoysu.com
Mastercard www.mastercards.tw
Mexc Global www.bihui-xls.com
Oaktree www.oaktokencoin.com
P2B aope.p2bcc.shop
Pretty購物 www.prettyathy-my.com
Safety www.safhnbtse.com
SharebuildrEX www.sharebuildrex.com
Sqlz www.sqlzshop.vip
Star Field h5.starfield68.com
SULOMALL sulomall.shop
T&D gmoksn.icu
T9 Gaming g.t9live2.vip
TANAKA fan.goldjve.com
TBCC tbcccoin.com
TEZOS www.tezosysu.com
TIFFIN trade8.tiffijnsute.com
TOYOTA www.toyota868.com
UB www.global-ub02.com
uForce defiapp.world
USS www.ussiepbeus.com
ValrDex valrdex.club
VivoCity www.vivocitytw.com
Walmart walmartshope.com
Web3.0 www.web3-cypto.com
XTB xtbbmv.com
Zalando www.zalando-bigone.com
ZILLIQA zilliqaibf.com
ZWTXT www.zwtxt.store
三菱商事 m.mitsubishicorphk.com
千興 www.fxnvdhj.com
小紅書 xhsshmall.com
天成國際拍賣 www.tianschensell.com
天貓（阿里巴巴、Tmall、Time Square、Ttmall、Meta Universe） www.tmdll1688.vip
世界新能源 jin.solarenergore.com
卡利系統（CaliBet、CaliGroup） www.cali8888.net
立鴻投資 www.tiolgh.com
全球娛樂 worldwidedhe.com
全球商店 shop1128.com
求職服務中心 sdf888.realizeideal.online
長欣 www.zldjgiyhg.com
美潤國際 www.epesf.com
唯品會 tw.vipyua.com
國際接案中心 www.intcenterss.com
速賣通 www.aliexprestw.com
喬安金 down.qiaoanjin.com
富盛 app.fssgzp.top/fssgzp
普誠 app.wpbomk.top/wpbomk
順泰投資 app.sinvpj.top/sinvpj
圓方投資 app.iosspli.com
綠絲基金會 www.greenfounda.com
蜜柚優選 sdgundamcards.com
樂購 campcarol.com
潤盈 app.rioquwd.com
Grandcryptomarket grandcryptomarket.pro
SCAYLE scayle-increases.com
SCAYLE scayle-usa.com
wallet chainusdt78.lol
Futures memaft.com
ANTC antctrade.com
Ucapitals ucapitals.com
MONEYTT INTERNATIONAL LTD moneytt.info
Astar Network www.astarcc.tw
Cloudflare www.trademain.com
SIG sighy-01.com
Eikrt www.eikfoxex.com
Eikrt futkjs.com
Muller muller.pw
Decred Gpt dgpburn.com
簡單soho money88.ezsoholl.online
Persontrad5 persontrad5.xyz
InbaseTrader英汇 inbasetrader.com
Pretty購物 www.ptytlhz-my.com
Animoca animocafbf.com
Shopping | Central shopingcentrale.top
Dforce www.dforeceprt.com
奕林便民貸 serviceeabce.biz
bhilbc bhilbc.com
勝凱國際投資 app.yoklso.com
DYADIC www.dyadiyy.com
全球速賣通 shop.hongkong.puyansh.com
shopemy www.shopemy.top
Cointaste h5.cointaste.com
BitCome comebit.net
AMM ammtron.info
AMM amm-web3.pro
SPX www.spxbkr.com
VIAHTGOGO www.viahtgogoeba.com
Shop www.pun0mjsyls.shop
ShoppingGift online shopping shopping-gift.top
Carousell cj202405.store/eapp_1358_1702400351
BDSWISS www.bdswissykn.com
Foxblt www.foxbitiivc.com
Qazqaz wqu882.com
Trucoinex trucoinex.com
NGS-trust tcatrezor.com
Gleneagle www.gleneaglevjy.com
ImDesk deskhubble.com
cmeweb cmeweb.info
HIGOT higot-pro.com
SWIFT EXPRESS LOGISTICS COMPANY swiftexpresslc.us
TokenPocket www.tokenpocket.pro
DYADIC www.dyadicgt.com
心達國際投資 www.zfvvfu.top/kjhek
輝利 trade.lipoenins.com
Squared Financial financialmkf.com
Gleneagle www.gleneaglentv.com
TRCOEX www.trcoexxt.com
ETX Capital www.etxcapitalhuji.com
MFP www.mfpbef.com
慶霙國際 www.qfsavx.top/kjhek
D.H www.dhdarkbhu.com
SOLAR fa.geosolah.buzz
台股財源廣進 vip.afii099a.com
億展 www.tsklof.com
Axon Markets axonirn.com
Yahoo購物 www.yahiivk.com
知微 app.kooise.com
簡單SOHO money88.ezsohomax.live
Fantom fantomrgn.com
FPS f8.fpscoin.top
GDS www.osigasgoss.com
KZHJ www.kzhj.shop
PAXOS paxosiys.com
Pionex www.poiviponeex.com
TikTok Shop tiktokshoplive.vip
泰盛國際 www.ttisop.com
聯碩 www.rioshf.xyz
